original_word,new_word,case_variations,starting_letter,offset,direction
saucepans,SaUCe,"['SaUCePans', 'SaUCepAns', 'SaUCePAns', 'SaUCePaNs', 'SaUCepANs', 'SaUCePANs', 'SaUCePanS', 'SaUCepAnS', 'SaUCePAnS', 'SaUCePaNS', 'SaUCepANS', 'SaUCePANS']",0,1,reverse
deuces,eSaUS,"['deUCeS', 'DeUCeS']",1,1,reverse
weldments,EdLeM,"['weLdMEnts', 'WeLdMEnts', 'weLdMENts', 'WeLdMENts', 'weLdMEnTs', 'WeLdMEnTs', 'weLdMENTs', 'WeLdMENTs', 'weLdMEntS', 'WeLdMEntS', 'weLdMENtS', 'WeLdMENtS', 'weLdMEnTS', 'WeLdMEnTS', 'weLdMENTS', 'WeLdMENTS']",0,7,reverse
pummels,eMmeT,"['pUMmeLs', 'PUMmeLs', 'pUMmeLS', 'PUMmeLS']",0,7,reverse
ammeter,LUMme,"['aMmeTer', 'AMmeTer', 'aMmeTeR', 'AMmeTeR']",0,7,reverse
ammeter,DUMme,"['aMmeTEr', 'AMmeTEr', 'aMmeTER', 'AMmeTER']",0,7,reverse
dehydrates,TEPID,"['dehydRATES', 'dEhydRATES', 'deHydRATES', 'dEHydRATES', 'dehYdRATES', 'dEhYdRATES', 'deHYdRATES', 'dEHYdRATES', 'dehyDRATES', 'dEhyDRATES', 'deHyDRATES', 'dEHyDRATES', 'dehYDRATES', 'dEhYDRATES', 'deHYDRATES', 'dEHYDRATES']",4,3,reverse
architect,EXTER,"['ArchiTECT', 'ARchiTECT', 'ArChiTECT', 'ARChiTECT', 'ArcHiTECT', 'ARcHiTECT', 'ArCHiTECT', 'ARCHiTECT', 'ArchITECT', 'ARchITECT', 'ArChITECT', 'ARChITECT', 'ArcHITECT', 'ARcHITECT', 'ArCHITECT', 'ARCHITECT']",4,3,reverse
megastores,gAsSY,"['MegAstores', 'MegAsTores', 'MegAstOres', 'MegAsTOres', 'MegAstoRes', 'MegAsToRes', 'MegAstORes', 'MegAsTORes', 'MegAstorEs', 'MegAsTorEs', 'MegAstOrEs', 'MegAsTOrEs', 'MegAstoREs', 'MegAsToREs', 'MegAstOREs', 'MegAsTOREs', 'MegAstoreS', 'MegAsToreS', 'MegAstOreS', 'MegAsTOreS', 'MegAstoReS', 'MegAsToReS', 'MegAstOReS', 'MegAsTOReS', 'MegAstorES', 'MegAsTorES', 'MegAstOrES', 'MegAsTOrES', 'MegAstoRES', 'MegAsToRES', 'MegAstORES', 'MegAsTORES']",0,1,reverse
skewed,SuSie,"['SKeWed', 'SKeWeD']",0,1,reverse
riveted,dUFTE,"['RivETeD', 'RIvETeD', 'RiVETeD', 'RIVETeD']",2,4,forward
strummed,EMmeT,"['strUMmeD', 'StrUMmeD', 'sTrUMmeD', 'STrUMmeD', 'stRUMmeD', 'StRUMmeD', 'sTRUMmeD', 'STRUMmeD']",2,7,reverse
nitriles,FRIER,"['niTRILEs', 'NiTRILEs', 'nITRILEs', 'NITRILEs']",1,3,reverse
